gene	slope	pval	r2	symbol	DEGs
76	FBgn0015037	0.282	4.294e-02	0.667	Cyp4p1	Smurf & old non-Smurf
77	FBgn0015589	0.278	1.560e-03	0.556	Apc	Smurf
78	FBgn0032900	0.278	1.440e-02	0.634	CG14401	Smurf & old non-Smurf
79	FBgn0038651	0.271	2.540e-03	0.537	Epg5	none
80	FBgn0051793	0.269	3.180e-03	0.7	CG31793	 old non-Smurf
81	FBgn0031547	0.266	2.780e-03	0.652	Sr-CIV	Smurf & old non-Smurf
82	FBgn0050197	0.265	2.564e-02	0.59	CG30197	 old non-Smurf
83	FBgn0261283	0.264	1.228e-02	0.612	SREBP	Smurf & old non-Smurf
84	FBgn0259697	0.263	7.950e-03	0.717	nvd	 old non-Smurf
85	FBgn0023129	0.261	6.410e-03	0.767	aay	Smurf & old non-Smurf
86	FBgn0036449	0.261	9.690e-03	0.539	bmm	 old non-Smurf
87	FBgn0039310	0.261	3.849e-02	0.524	CG11878	 old non-Smurf
88	FBgn0284244	0.254	2.510e-03	0.536	l(2)k05911	none
89	FBgn0040236	0.253	3.730e-03	0.515	c11.1	Smurf
90	FBgn0266369	0.253	3.860e-03	0.566	Mtp	Smurf & old non-Smurf
91	FBgn0032079	0.25	9.560e-03	0.535	CG31886	 old non-Smurf
92	FBgn0265376	0.249	1.710e-03	0.665	-	 old non-Smurf
93	FBgn0033778	0.246	3.170e-03	0.708	CG3790	none
94	FBgn0053469	0.245	3.530e-03	0.617	CG33469	Smurf & old non-Smurf
95	FBgn0026255	0.242	1.303e-02	0.682	clumsy	 old non-Smurf
96	FBgn0031910	0.24	3.728e-02	0.615	CG15818	 old non-Smurf
97	FBgn0025881	0.239	1.580e-03	0.555	-	none
98	FBgn0032601	0.237	4.765e-02	0.617	yellow-b	Smurf & old non-Smurf
99	FBgn0036640	0.237	3.280e-03	0.725	nxf2	Smurf
100	FBgn0038000	0.237	7.440e-03	0.7	CG10014	 old non-Smurf
101	FBgn0040212	0.236	1.270e-03	0.63	Dhap-at	none
102	FBgn0026415	0.231	3.652e-02	0.511	Idgf4	 old non-Smurf
103	FBgn0262107	0.23	2.340e-03	0.621	-	Smurf & old non-Smurf
104	FBgn0030749	0.227	3.450e-03	0.672	AnxB11	Smurf & old non-Smurf
105	FBgn0035157	0.227	9.160e-03	0.535	CG13894	Smurf & old non-Smurf
106	FBgn0011596	0.225	6.740e-03	0.546	fzo	none
107	FBgn0037560	0.225	2.669e-02	0.528	-	Smurf & old non-Smurf
108	FBgn0000715	0.219	9.410e-03	0.759	-	Smurf & old non-Smurf
109	FBgn0036053	0.219	3.330e-03	0.507	iPLA2-VIA	Smurf
110	FBgn0036448	0.218	9.460e-03	0.54	mop	none
111	FBgn0050106	0.214	1.163e-02	0.535	CCHa1-R	 old non-Smurf
112	FBgn0031957	0.213	2.750e-03	0.581	TwdlE	Smurf
113	FBgn0037515	0.212	5.700e-03	0.678	Sp7	 old non-Smurf
114	FBgn0264989	0.212	2.553e-02	0.503	CG44141	 old non-Smurf
115	FBgn0013685	0.211	1.710e-03	0.587	ND6	none
116	FBgn0260794	0.211	1.485e-02	0.569	ctrip	none
117	FBgn0053289	0.21	1.912e-02	0.605	ppk5	 old non-Smurf
118	FBgn0266974	0.21	6.200e-04	0.62	-	none
119	FBgn0267073	0.208	1.098e-02	0.692	-	Smurf & old non-Smurf
120	FBgn0011278	0.205	9.900e-04	0.583	lbe	none
121	FBgn0032451	0.204	4.300e-04	0.628	spict	Smurf
122	FBgn0034400	0.204	3.510e-03	0.523	CG15099	Smurf
123	FBgn0035798	0.204	4.970e-02	0.605	frac	 old non-Smurf
124	FBgn0036364	0.204	2.682e-02	0.734	CG14109	Smurf & old non-Smurf
125	FBgn0038809	0.204	3.330e-03	0.527	CG16953	none
126	FBgn0050022	0.204	3.732e-02	0.511	CG30022	Smurf & old non-Smurf
127	FBgn0032689	0.202	2.990e-03	0.563	CG10413	none
128	FBgn0034664	0.202	3.865e-02	0.536	CG4377	 old non-Smurf
129	FBgn0037279	0.202	1.000e-04	0.702	CG1129	none
130	FBgn0050438	0.202	4.681e-02	0.542	CG30438	 old non-Smurf
131	FBgn0264876	0.202	4.350e-03	0.536	-	none
132	FBgn0029995	0.201	5.100e-04	0.627	CG2256	Smurf
133	FBgn0030159	0.201	3.999e-02	0.513	CG9689	Smurf & old non-Smurf
134	FBgn0035498	0.197	2.430e-03	0.521	Fit1	Smurf
135	FBgn0052313	0.192	4.660e-03	0.591	CG32313	Smurf
136	FBgn0038804	0.189	5.100e-04	0.695	CG10877	 old non-Smurf
137	FBgn0261570	0.186	1.254e-02	0.532	CG42684	none
138	FBgn0035589	0.184	1.200e-04	0.755	CHMP2B	Smurf & old non-Smurf
139	FBgn0032139	0.183	1.541e-02	0.679	CG13116	Smurf & old non-Smurf
140	FBgn0058354	0.183	2.160e-03	0.537	-	none
141	FBgn0034221	0.18	6.890e-03	0.646	CG10764	 old non-Smurf
142	FBgn0034513	0.18	3.397e-02	0.564	CG13423	 old non-Smurf
143	FBgn0004897	0.179	1.780e-03	0.669	fd96Ca	none
144	FBgn0027569	0.179	2.600e-04	0.725	cert	Smurf & old non-Smurf
145	FBgn0004648	0.178	1.490e-03	0.573	svr	none
146	FBgn0033889	0.178	2.380e-03	0.731	CG6701	none
147	FBgn0035097	0.173	2.340e-03	0.607	CG13405	none
148	FBgn0033063	0.171	1.700e-04	0.752	CG14589	none
149	FBgn0037683	0.17	1.949e-02	0.732	CG18473	Smurf & old non-Smurf
150	FBgn0032337	0.168	1.172e-02	0.596	AstCC	none
151	FBgn0030994	0.167	1.980e-03	0.567	HP1D3csd	none
152	FBgn0260632	0.167	5.680e-03	0.506	dl	Smurf
153	FBgn0039266	0.166	1.803e-02	0.626	CG11791	Smurf & old non-Smurf
154	FBgn0013767	0.164	3.690e-03	0.798	Crz	 old non-Smurf
155	FBgn0033476	0.164	9.650e-03	0.604	oys	Smurf & old non-Smurf
156	FBgn0036567	0.164	6.900e-04	0.698	CG13074	none
157	FBgn0266810	0.164	3.172e-02	0.611	-	Smurf & old non-Smurf
158	FBgn0034184	0.161	1.390e-03	0.561	CG9646	Smurf
159	FBgn0060292	0.161	1.802e-02	0.504	-	none
160	FBgn0035875	0.156	1.532e-02	0.528	Cpr66Cb	none
161	FBgn0266668	0.156	2.900e-03	0.657	Exo84	Smurf & old non-Smurf
